               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042572,            0.023431,            0.021609,             0.71829,             0.62501,             0.65705,             0.33936,            0.043148,           0.0092233,            0.018338,            0.006436,            0.006436,            0.006436
                  38,            0.042916,            0.022576,            0.021995,             0.70331,              0.6379,             0.65629,             0.34257,            0.043157,           0.0091958,            0.018261,            0.006337,            0.006337,            0.006337
                  39,            0.042569,            0.023103,            0.022187,             0.70385,             0.64383,              0.6566,             0.34129,            0.042657,           0.0090652,            0.018758,            0.006238,            0.006238,            0.006238
                  40,            0.041619,            0.022737,             0.02121,             0.72198,             0.62432,             0.65328,             0.34074,            0.042803,           0.0093515,            0.016698,            0.006139,            0.006139,            0.006139
                  41,            0.041888,            0.023108,            0.020862,             0.69947,             0.62225,             0.64017,             0.32595,            0.043348,           0.0096142,            0.016824,             0.00604,             0.00604,             0.00604
                  42,            0.042015,            0.023127,            0.020543,             0.71982,             0.63792,             0.66857,             0.35076,            0.042112,           0.0089698,            0.017409,            0.005941,            0.005941,            0.005941
                  43,            0.041876,            0.022937,            0.020255,             0.69789,             0.62435,             0.63785,             0.32708,            0.042988,           0.0092131,            0.017857,            0.005842,            0.005842,            0.005842
                  44,            0.041705,            0.022809,            0.020188,             0.72097,             0.62285,              0.6536,             0.34056,            0.042759,           0.0090564,            0.018371,            0.005743,            0.005743,            0.005743
                  45,            0.042057,            0.022954,            0.020141,             0.70028,             0.65342,             0.67311,             0.35541,            0.042442,           0.0090874,            0.016577,            0.005644,            0.005644,            0.005644
                  46,            0.041454,            0.022457,            0.020103,             0.70643,             0.63808,             0.65686,             0.34034,            0.041611,           0.0091038,            0.017177,            0.005545,            0.005545,            0.005545
                  47,            0.041425,            0.022666,             0.01959,             0.71213,             0.64457,             0.67033,             0.34517,            0.042689,           0.0090074,            0.017394,            0.005446,            0.005446,            0.005446
                  48,            0.041443,            0.022288,            0.019799,             0.72866,             0.64063,             0.67589,             0.35146,            0.041492,           0.0090663,            0.017387,            0.005347,            0.005347,            0.005347
                  49,            0.040807,            0.022513,            0.019588,             0.72463,             0.64465,             0.67959,             0.35546,            0.041351,           0.0090674,            0.016328,            0.005248,            0.005248,            0.005248
                  50,            0.040568,            0.022823,            0.018683,             0.73118,             0.64267,             0.67571,             0.35262,            0.041838,           0.0089876,            0.016443,            0.005149,            0.005149,            0.005149
                  51,            0.040273,            0.022152,            0.019066,             0.72469,             0.64953,             0.67649,             0.34525,            0.042264,           0.0090845,            0.017975,             0.00505,             0.00505,             0.00505
                  52,            0.040349,            0.022423,            0.019278,             0.72293,             0.65765,             0.67178,              0.3552,             0.04167,             0.00891,            0.017748,            0.004951,            0.004951,            0.004951
                  53,            0.040154,            0.022323,            0.018219,             0.72592,             0.66302,             0.68113,              0.3524,            0.041735,           0.0090224,             0.01669,            0.004852,            0.004852,            0.004852
                  54,             0.04026,            0.022305,            0.018485,             0.71978,             0.65808,             0.68188,             0.35675,            0.041579,           0.0088728,             0.01691,            0.004753,            0.004753,            0.004753
                  55,            0.040848,            0.022038,             0.01794,             0.71617,             0.66344,             0.67374,             0.35097,            0.041308,            0.008979,            0.017667,            0.004654,            0.004654,            0.004654
